"","2010","2013","2014","2015","2016"
"","","","","",""
"absoluut","","","","",""
"hinderlijk en/of fout geparkeerd bij CSE en in stadsdelen","18287","43583","40719","37383","39912"
"ontvangen via politiebureaus","974","784","819","799","589"
"ontvangen via fietspunten","492","183","251","250","270"
"ontvangen via Interne stallingen","-","207","-","107","50"
"ontvangen via registercontroleur","-","-","-","-","-"
"ontvangen via overige manieren","-","3","161","371","689"
"totaal ontvangen hinderlijk en/of fout geparkeerd","19753","44760","41950","38910","41510"
"verwaarloosd","13339","29024","26730","24920","23798"
"totaal","33092","73784","68680","63830","65308"
"procenten","","","","",""
"hinderlijk en/of fout geparkeerd bij CSE en in stadsdelen","55.3","59.1","59.3","58.6","61.1"
"ontvangen via politiebureaus","2.9","1.1","1.2","1.3","0.9"
"ontvangen via fietspunten","1.5","0.2","0.4","0.4","0.4"
"ontvangen via interne stallingen","-","0.3","-","0.2","0.1"
"ontvangen via registercontroleur","-","-","-","-","-"
"ontvangen via overige manieren","-","0,0","0.2","0.6","1.1"
"totaal ontvangen hinderlijk en/of fout geparkeerd","59.7","60.7","61.1","61","63.6"
"verwaarloosd","40.3","39.3","38.9","39","36.4"
"totaal","100","100","100","100","100"
"index 2010=100","","","","",""
"hinderlijk en/of fout geparkeerd bij CSE en in stadsdelen","100","238","223","204","218"
"ontvangen via politiebureaus","100","80","84","82","60"
"ontvangen via fietspunten","100","37","51","51","55"
"totaal ontvangen hinderlijk en/of fout geparkeerd","100","227","212","197","210"
"verwaarloosd","100","218","200","187","178"
"totaal","100","223","208","193","197"

